,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
LotArea,1.0,0.014227651757024678,0.013788427078154822,0.10415982154021164,0.21410313070557835,0.11116974549624932,-0.0026183599500954335,0.26083313454515794,0.29947457850776354,0.05098594829349351,0.004778969866349652,0.26311616716714836,-0.02494741866564036,0.18040275515111656,0.17169768725711357,0.08477380884021646,-0.018339733672212276,0.020422829586133177,0.043160377695251814,0.07767239188017415,0.03806769201918441,0.0012049882225877388,-0.014261407298531923,0.2638433538714063
YearBuilt,0.014227651757024678,1.0,0.5928549763436497,0.31570706243619523,0.24950319668479937,-0.049106831196239806,0.14904039195440044,0.39145200206609476,0.28198585869980175,0.01030765958436373,-0.18378434437372668,0.1990097136764581,0.8256674841743434,0.4789538198934912,0.22488014230399725,0.18868584000173075,-0.38726778292807656,0.03135451306436335,-0.05036443453861163,0.00494972761594348,-0.03438313873672352,0.012398470595442182,-0.013617680001842058,0.5228973328794967
YearRemodAdd,0.013788427078154822,0.5928549763436497,1.0,0.1796183707355165,0.12845054712828968,-0.06775851356598678,0.18113308705016823,0.29106558260416654,0.24037926760355563,0.14002377880486408,-0.0624191000783343,0.28738851965033274,0.6422767797035414,0.371599809497309,0.20572592049010316,0.2262976326829877,-0.19391914709920693,0.04528580981497537,-0.03874001074260982,0.0058293720371077355,-0.010286248783081717,0.021490002226876855,0.03574324712128322,0.5071009671113867
MasVnrArea,0.10415982154021164,0.31570706243619523,0.1796183707355165,1.0,0.2647362647138647,-0.07231884820335596,0.11444206231380714,0.3639362217744695,0.3445007468899201,0.17456147345742778,-0.06907085606589486,0.3908566397384352,0.25269077499033554,0.37306648160023304,0.15971813436595525,0.1257027966825022,-0.11020383387243465,0.01879551529491412,0.06146554318732059,0.011723061213266746,-0.029815393585278842,-0.0059647155091142635,-0.008201030967105458,0.4774930470957107
BsmtFinSF1,0.21410313070557835,0.24950319668479937,0.12845054712828968,0.2647362647138647,1.0,-0.05011740004715191,-0.49525146925701485,0.5223960519923907,0.4458626560920095,-0.13707898608005406,-0.0645025969214698,0.20817113014532806,0.153484098026779,0.29697038534451464,0.20430614523740545,0.11176061335675173,-0.10230330550073302,0.026450506189898835,0.06202062266535013,0.14049128625495722,0.003571473474954832,-0.015726948262154733,0.014358922393912487,0.38641980624215627
BsmtFinSF2,0.11116974549624932,-0.049106831196239806,-0.06775851356598678,-0.07231884820335596,-0.05011740004715191,1.0,-0.20929449241994658,0.10480953760636849,0.09711744845667107,-0.09926031602264533,0.014806997946834337,-0.00963989155180548,-0.08801081541220061,-0.018226591907316646,0.06789832641361276,0.0030925622098945888,0.03654333944820929,-0.029993397993919868,0.08887125137339077,0.041709054681333034,0.0049397812284377755,-0.015210737972006717,0.03170563698488748,-0.011378121450215216
BsmtUnfSF,-0.0026183599500954335,0.14904039195440044,0.18113308705016823,0.11444206231380714,-0.49525146925701485,-0.20929449241994658,1.0,0.41535960518158943,0.3179874383527257,0.004469092144542394,0.028166688132741903,0.24025726834993516,0.19070827345893301,0.18330269774258381,-0.005316424333062044,0.1290054146154213,-0.0025378545897515683,0.02076400569654775,-0.012579273444256776,-0.035092240793657865,-0.02383664513450834,0.03488844300908199,-0.041258194938762024,0.214479105546969
TotalBsmtSF,0.26083313454515794,0.39145200206609476,0.29106558260416654,0.3639362217744695,0.5223960519923907,0.10480953760636849,0.41535960518158943,1.0,0.8195299750050355,-0.17451195013495976,-0.03324538734745721,0.4548682025479028,0.3224451736794758,0.48666546377379655,0.23201860912901978,0.2472637462881077,-0.0954777367064077,0.03738372726300451,0.08448898591431103,0.12605313210083696,-0.018478922431472533,0.013196178616778513,-0.01496864801875107,0.6135805515591944
1stFlrSF,0.29947457850776354,0.28198585869980175,0.24037926760355563,0.3445007468899201,0.4458626560920095,0.09711744845667107,0.3179874383527257,0.8195299750050355,1.0,-0.20264618100231988,-0.014240672666431465,0.5660239689357487,0.23344909271486305,0.4897816541041915,0.23545862278369958,0.21167122549798492,-0.06529170091030902,0.05610437448487474,0.0887580726201564,0.13152497564028195,-0.02109571946312286,0.031371560352079074,-0.013603770504648229,0.6058521846919166
2ndFlrSF,0.05098594829349351,0.01030765958436373,0.14002377880486408,0.17456147345742778,-0.13707898608005406,-0.09926031602264533,0.004469092144542394,-0.17451195013495976,-0.20264618100231988,1.0,0.06335295010932407,0.6875010641666008,0.07083233971737964,0.1383469585718656,0.09216541758603838,0.2080260631813553,0.061988690773251,-0.0243576484220475,0.04060644764100074,0.08148687804909924,0.01619687460438891,0.03516442736179051,-0.028699913935284663,0.31933380283206614
LowQualFinSF,0.004778969866349652,-0.18378434437372668,-0.0624191000783343,-0.06907085606589486,-0.0645025969214698,0.014806997946834337,0.028166688132741903,-0.03324538734745721,-0.014240672666431465,0.06335295010932407,1.0,0.13468281300660345,-0.03636323404233951,-0.06760141323952353,-0.025443647988792197,0.0182510390539997,0.06108123777122828,-0.004295610410300117,0.026799413021772037,0.062157372269196445,-0.0037928707799966834,-0.02217396057953832,-0.028920879782297997,-0.02560613000068015
GrLivArea,0.26311616716714836,0.1990097136764581,0.28738851965033274,0.3908566397384352,0.20817113014532806,-0.00963989155180548,0.24025726834993516,0.4548682025479028,0.5660239689357487,0.6875010641666008,0.13468281300660345,1.0,0.23119674063336287,0.4689974773229643,0.24743282051884927,0.3302239617119999,0.009113210326003124,0.0206431897101862,0.10151039568208489,0.1702053360005609,-0.0024156395502937167,0.05023968081827258,-0.036525819624723004,0.7086244776126511
GarageYrBlt,-0.02494741866564036,0.8256674841743434,0.6422767797035414,0.25269077499033554,0.153484098026779,-0.08801081541220061,0.19070827345893301,0.3224451736794758,0.23344909271486305,0.07083233971737964,-0.03636323404233951,0.23119674063336287,1.0,0.5645670607230588,0.22457699198793515,0.228424578771982,-0.29700260305572995,0.023543689573667856,-0.07541751376190625,-0.014500678563704943,-0.03241745782126128,0.005337025760369664,-0.001014277871289831,0.48636167748786213
GarageArea,0.18040275515111656,0.4789538198934912,0.371599809497309,0.37306648160023304,0.29697038534451464,-0.018226591907316646,0.18330269774258381,0.48666546377379655,0.4897816541041915,0.1383469585718656,-0.06760141323952353,0.4689974773229643,0.5645670607230588,1.0,0.22466630717876454,0.24143467213808723,-0.12177671956100364,0.03508670020815936,0.05141176244520807,0.0610472717020595,-0.02739991441262575,0.02797379982354043,-0.027377940418558608,0.6234314389183598
WoodDeckSF,0.17169768725711357,0.22488014230399725,0.20572592049010316,0.15971813436595525,0.20430614523740545,0.06789832641361276,-0.005316424333062044,0.23201860912901978,0.23545862278369958,0.09216541758603838,-0.025443647988792197,0.24743282051884927,0.22457699198793515,0.22466630717876454,1.0,0.05866060856588831,-0.12598888803760044,-0.03277063359357437,-0.07418135123983265,0.073378206956454,-0.009551228238372386,0.021011044294297343,0.022270451009255326,0.32441344456813076
OpenPorchSF,0.08477380884021646,0.18868584000173075,0.2262976326829877,0.1257027966825022,0.11176061335675173,0.0030925622098945888,0.1290054146154213,0.2472637462881077,0.21167122549798492,0.2080260631813553,0.0182510390539997,0.3302239617119999,0.228424578771982,0.24143467213808723,0.05866060856588831,1.0,-0.09307931750864905,-0.005842499340135787,0.0743039438502424,0.06076211148992545,-0.018583738987649454,0.0712548847586891,-0.05761936014209498,0.31585622711605577
EnclosedPorch,-0.018339733672212276,-0.38726778292807656,-0.19391914709920693,-0.11020383387243465,-0.10230330550073302,0.03654333944820929,-0.0025378545897515683,-0.0954777367064077,-0.06529170091030902,0.061988690773251,0.06108123777122828,0.009113210326003124,-0.29700260305572995,-0.12177671956100364,-0.12598888803760044,-0.09307931750864905,1.0,-0.03730528278804631,-0.08286424483260406,0.0542025622921423,0.01836060013944818,-0.02888726570714225,-0.009915936955525128,-0.12857795792595636
3SsnPorch,0.020422829586133177,0.03135451306436335,0.04528580981497537,0.01879551529491412,0.026450506189898835,-0.029993397993919868,0.02076400569654775,0.03738372726300451,0.05610437448487474,-0.0243576484220475,-0.004295610410300117,0.0206431897101862,0.023543689573667856,0.03508670020815936,-0.03277063359357437,-0.005842499340135787,-0.03730528278804631,1.0,-0.03143584703909499,-0.007991548872868624,0.00035396527793933553,0.029473795249939806,0.018644925404743957,0.04458366533574792
ScreenPorch,0.043160377695251814,-0.05036443453861163,-0.03874001074260982,0.06146554318732059,0.06202062266535013,0.08887125137339077,-0.012579273444256776,0.08448898591431103,0.0887580726201564,0.04060644764100074,0.026799413021772037,0.10151039568208489,-0.07541751376190625,0.05141176244520807,-0.07418135123983265,0.0743039438502424,-0.08286424483260406,-0.03143584703909499,1.0,0.05130739451790521,0.031945760774908606,0.023216991793306135,0.010694106003783704,0.11144657114291048
PoolArea,0.07767239188017415,0.00494972761594348,0.0058293720371077355,0.011723061213266746,0.14049128625495722,0.041709054681333034,-0.035092240793657865,0.12605313210083696,0.13152497564028195,0.08148687804909924,0.062157372269196445,0.1702053360005609,-0.014500678563704943,0.0610472717020595,0.073378206956454,0.06076211148992545,0.0542025622921423,-0.007991548872868624,0.05130739451790521,1.0,0.02966865085402216,-0.033736640262790836,-0.05968893167525976,0.09240354949187278
MiscVal,0.03806769201918441,-0.03438313873672352,-0.010286248783081717,-0.029815393585278842,0.003571473474954832,0.0049397812284377755,-0.02383664513450834,-0.018478922431472533,-0.02109571946312286,0.01619687460438891,-0.0037928707799966834,-0.0024156395502937167,-0.03241745782126128,-0.02739991441262575,-0.009551228238372386,-0.018583738987649454,0.01836060013944818,0.00035396527793933553,0.031945760774908606,0.02966865085402216,1.0,-0.0064945502212819676,0.004906262452666667,-0.02118957964030379
MoSold,0.0012049882225877388,0.012398470595442182,0.021490002226876855,-0.0059647155091142635,-0.015726948262154733,-0.015210737972006717,0.03488844300908199,0.013196178616778513,0.031371560352079074,0.03516442736179051,-0.02217396057953832,0.05023968081827258,0.005337025760369664,0.02797379982354043,0.021011044294297343,0.0712548847586891,-0.02888726570714225,0.029473795249939806,0.023216991793306135,-0.033736640262790836,-0.0064945502212819676,1.0,-0.14572141267538744,0.04643224522381936
YrSold,-0.014261407298531923,-0.013617680001842058,0.03574324712128322,-0.008201030967105458,0.014358922393912487,0.03170563698488748,-0.041258194938762024,-0.01496864801875107,-0.013603770504648229,-0.028699913935284663,-0.028920879782297997,-0.036525819624723004,-0.001014277871289831,-0.027377940418558608,0.022270451009255326,-0.05761936014209498,-0.009915936955525128,0.018644925404743957,0.010694106003783704,-0.05968893167525976,0.004906262452666667,-0.14572141267538744,1.0,-0.028922585168730426
SalePrice,0.2638433538714063,0.5228973328794967,0.5071009671113867,0.4774930470957107,0.38641980624215627,-0.011378121450215216,0.214479105546969,0.6135805515591944,0.6058521846919166,0.31933380283206614,-0.02560613000068015,0.7086244776126511,0.48636167748786213,0.6234314389183598,0.32441344456813076,0.31585622711605577,-0.12857795792595636,0.04458366533574792,0.11144657114291048,0.09240354949187278,-0.02118957964030379,0.04643224522381936,-0.028922585168730426,1.0
